-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.758, 80.118, 0.705,  0.412
-183.739, 80.092, 0.830,  0.445
-183.717, 80.062, 0.960,  0.478
-183.691, 80.028, 1.092,  0.511
-183.661, 79.990, 1.240,  0.544
-183.628, 79.949, 1.367,  0.577
-183.591, 79.906, 1.459,  0.610
-183.552, 79.863, 1.511,  0.643
-183.512, 79.819, 1.539,  0.676
-183.470, 79.777, 1.547,  0.709
-183.427, 79.736, 1.538,  0.742
-183.384, 79.696, 1.535,  0.775
-183.341, 79.657, 1.531,  0.808
-183.299, 79.618, 1.524,  0.841
-183.257, 79.580, 1.519,  0.874
-183.216, 79.542, 1.513,  0.907
-183.176, 79.505, 1.507,  0.940
-183.136, 79.467, 1.506,  0.973
-183.098, 79.429, 1.507,  1.006
-183.062, 79.391, 1.510,  1.039
-183.026, 79.352, 1.509,  1.072
-182.992, 79.313, 1.508,  1.105
-182.960, 79.273, 1.503,  1.138
-182.929, 79.232, 1.496,  1.171
-182.900, 79.191, 1.486,  1.204
-182.872, 79.150, 1.477,  1.237
-182.846, 79.108, 1.469,  1.270
-182.821, 79.066, 1.462,  1.303
-182.797, 79.023, 1.458,  1.336
-182.774, 78.980, 1.456,  1.369
-182.752, 78.937, 1.457,  1.402
-182.732, 78.892, 1.460,  1.435
-182.711, 78.848, 1.466,  1.468
-182.692, 78.802, 1.477,  1.501
-182.673, 78.757, 1.475,  1.534
-182.654, 78.711, 1.475,  1.567
-182.636, 78.665, 1.477,  1.600
-182.618, 78.619, 1.482,  1.633
-182.601, 78.572, 1.489,  1.666
-182.584, 78.524, 1.498,  1.699
-182.568, 78.477, 1.508,  1.732
